"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type","expression_status"
"ENSG00000248779",-10.2142769346417,2.88817222641023,269.64314810394,1.35732470757719e-60,9.45665429137806e-59,"AC093297.1","lncRNA","Down regulated in TNBC"
"ENSG00000286775",-9.6122920057287,0.343743842436452,23.4486746139388,1.28291077970274e-06,3.69516106713644e-06,"AL355526.2","lncRNA","Down regulated in TNBC"
"ENSG00000164326",-9.35298546794621,6.30410949503619,45.4143639689538,1.59460619582808e-11,7.06022633912323e-11,"CARTPT","protein_coding","Down regulated in TNBC"
"ENSG00000135413",-9.25571165239883,3.22596462433259,61.6441181845364,4.11494500866667e-15,2.3730126613234e-14,"LACRT","protein_coding","Down regulated in TNBC"
"ENSG00000244461",-9.1149240316343,0.998861622016789,23.9944262062881,9.66149887447494e-07,2.8184135769918e-06,"LINC02077","lncRNA","Down regulated in TNBC"
"ENSG00000250418",-9.10210914845603,2.06408918282103,100.837047152073,9.98707767040843e-24,1.00370905122766e-22,"AC093292.1","lncRNA","Down regulated in TNBC"
"ENSG00000150361",-9.03289719640321,1.14529305351337,44.6997747787997,2.29683736123735e-11,1.00419660069675e-10,"KLHL1","protein_coding","Down regulated in TNBC"
"ENSG00000153002",-8.40086605782425,10.1138255703531,222.411946965725,2.69332762786098e-50,1.08681999901479e-48,"CPB1","protein_coding","Down regulated in TNBC"
"ENSG00000249203",-8.36313271933686,5.81362229315305,247.793763599639,7.86008929955601e-56,4.19414365024309e-54,"LINC02224","lncRNA","Down regulated in TNBC"
"ENSG00000170367",-8.33148997152743,1.25166213932182,106.359141052041,6.15130329815628e-25,6.61604250394063e-24,"CST5","protein_coding","Down regulated in TNBC"
"ENSG00000169906",-8.13778427156203,0.867484554685171,87.9898854918144,6.57900232710491e-21,5.54744803026901e-20,"S100G","protein_coding","Down regulated in TNBC"
"ENSG00000100604",-8.04825891592285,3.90018138357907,47.1074330137114,6.72003554178957e-12,3.06356349415426e-11,"CHGA","protein_coding","Down regulated in TNBC"
"ENSG00000106410",8.01694910310003,-3.5457895272335,100.425831240073,1.22914566032338e-23,1.2279544178332e-22,"NOBOX","protein_coding","Up regulated in TNBC"
